id;name;acronym;state
14091,39068;FACULDADE DE MARKETING E NEGÓCIOS;UNIESSA;MG
14095,26514;FACULDADE DO SERIDÓ;FAS;RN
14099,1396;FACULDADES INTEGRADAS DE CIÊNCIAS HUMANAS, SAÚDE E EDUCAÇÃO DE GUARULHOS;FG;SP
14103,01406;FACULDADE DE SAÚDE IBITURUNA;FASI;MG
14106,88852;Faculdade de Araraquara;FS;SP
14110,76298;FACULDADE DO LITORAL CATARINENSE;FLC;SC
14114,63743;FACULDADE INEDI;CESUCA;RS
14118,51189;INSTITUTO SUPERIOR DE EDUCAÇÃO IBITURUNA;ISEIB;MG
14122,38635;FACULDADE POLITÉCNICA DE CAMPINAS;POLICAMP;SP
14126,26081;INSTITUTO DE ENSINO SUPERIOR E PESQUISA;INESP;MG
14130,13527;INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA;ISEPI;MG
14134,00973;FACULDADE DE FILOSOFIA DE PASSOS;FAFIPA;MG
14137,88419;FACULDADE DE ENFERMAGEM DE PASSOS;FAENPA;MG
14141,75865;FACULDADE DE DIREITO DE PASSOS;FADIPA;MG
14145,6331;FACULDADE DE ENGENHARIA DE PASSOS;FEP;MG
14149,50756;FACULDADE DE INFORMÁTICA DE PASSOS;FIP;MG
14153,38202;FACULDADE DE SERVIÇO SOCIAL DE PASSOS;FASESP;MG
14157,25648;FACULDADE DE NUTRIÇÃO DA FUNDAÇÃO DE ENSINO SUPERIOR DE PASSOS;FANUTRI;MG
14161,13094;FACULDADE DE ADMINISTRAÇÃO DE PASSOS;FAP;MG
14165,0054;FACULDADE EDUCAÇÃO FÍSICA DE PASSOS;FADEF;MG
14168,87986;FACULDADE DE MODA DE PASSOS;FAMOPA;MG
14172,75432;FACULDADE DE FILOSOFIA E LETRAS DE DIAMANTINA;FAFIDIA;MG
14176,62877;FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS NOSSA SENHORA DE SION;FAFI/SION;MG
14180,50323;FACULDADE DE CIÊNCIAS EXATAS E HUMANAS DA CAMPANHA;FCCP;MG
14184,37769;FACULDADE DE CIÊNCIAS JURÍDICAS DE DIAMANTINA;FCJ;MG
14188,25215;INSTITUTO SUPERIOR DE EDUCAÇÃO DE DIVINÓPOLIS;ISED;MG
14192,12661;INSTITUTO SUPERIOR DE EDUCAÇÃO DE CLÁUDIO;ISEC;MG
14196,00107;INSTITUTO SUPERIOR DE EDUCAÇÃO DO ALTO SÃO FRANCISCO;ISAF;MG
14199,87553;INSTITUTO SUPERIOR DE EDUCAÇÃO DE ITUIUTABA;ISEDI;MG
14203,74999;FACULDADE SENAC/RS;SENACRS;RS
14207,62444;Centro de Ensino Superior de Conselheiro Lafaiete;CES-CL;MG
14211,4989;FACULDADE PINHALZINHO;HORUS;SC
14215,37336;FACULDADE DA FRONTEIRA - FAF;FAF;PR
14219,24782;FACULDADE DE CIÊNCIAS EDUCACIONAIS DE SERGIPE;FCES;SE
14223,12228;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS IBRAFEM;IBRAFEM;SP
14226,99674;FACULDADE VICENTINA - FAVI;FAVI;PR
14230,8712;FACULDADE DE PRESIDENTE VENCESLAU;FAPREV;SP
14234,74566;FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES;FACE - ALFOR;MG
14238,62012;FACULDADES INTEGRADAS DA VITÓRIA DE SANTO ANTÃO;FAINTVISA;PE
14242,49457;FACULDADE DE CIÊNCIAS DA SAÚDE ARCHIMEDES THEODORO;FAC - SAUDE ARTHE;MG
14246,36903;FACULDADE JANGADA;FJ;SC
14250,24349;FACULDADE CATÓLICA DE POUSO ALEGRE;FACAPA;MG
14254,11795;FACULDADE DE DIREITO DA FUNDAÇÃO ESCOLA SUPERIOR DO MINISTÉRIO PÚBLICO;;RS
14257,99241;FACULDADE EVANGÉLICA DE TECNOLOGIA, CIÊNCIAS E BIOTECNOLOGIA DA CGADB;FAECAD;RJ
14261,86687;CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA;UNIVEM;SP
14265,74133;FACULDADE DE NANUQUE;FANAN;MG
14269,61579;FACULDADE CERES;FACERES;SP
14273,49024;FACULDADE DE TEOLOGIA EVANGÉLICA EM CURITIBA - FATEV;FATEV;PR
14277,3647;FACULDADES INTEGRADAS SÉVIGNÉ;FAE SÉVIGNÉ;RS
14281,23916;FACULDADE ANGLICANA DE TAPEJARA;FAT;RS
14285,11362;INSTITUTO DE ENSINO SUPERIOR DE MINAS GERAIS;IESMIG;MG
